state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
Texas,Texana Center El Campo Learning Center,El Campo,05/28/2025,05/21/2025,9.0,,,,,,,Wharton,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Glenn Lakes Group Home,Missouri City,05/28/2025,05/21/2025,7.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center North Street Group Home,Rosenberg,05/28/2025,05/21/2025,7.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Aqua Vista Group,Rosenberg,05/28/2025,05/21/2025,4.0,,,,,,,Fort Bend,Heart of Texas WDA,05/28/2025,,,,,,
Texas,Texana Center Russeff Filed  Home,Rosenberg,05/28/2025,05/21/2025,5.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Dovecoft Group Home,Rosenberg,05/28/2025,05/21/2025,6.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Camden Landing Group Home,Rosenberg,05/28/2025,05/21/2025,5.0,,,,,,,Fort Bend,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Sunset Group Home,Wharton,05/28/2025,05/21/2025,8.0,,,,,,,Wharton,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Willowbend Group Home,Wharton,05/28/2025,05/21/2025,6.0,,,,,,,Wharton,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center University Group Home,Wharton,05/28/2025,05/21/2025,5.0,,,,,,,Wharton,Gulf Coast WDA,05/28/2025,,,,,,
Texas,Texana Center Maude Group Home,Wharton,05/28/2025,05/21/2025,4.0,,,,,,,Wharton,Gulf Coast WDA,05/28/2025,,,,,,
Texas,LACROIX,El Paso,05/27/2025,07/01/2025,7.0,,,,,,,El Paso,Borderplexjobs WDA,05/27/2025,,,,,,
Texas,Child Care Associates,Ft. Worth,05/21/2025,06/30/2025,93.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Tucker),Arlington,05/21/2025,06/30/2025,7.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Linda Kay),Hurst,05/21/2025,06/30/2025,15.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Mansfield),Mansfield,05/21/2025,06/30/2025,15.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Carson),Fort Worth,05/21/2025,05/21/2025,14.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Meachum),Fort Worth,05/21/2025,06/30/2025,15.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Reagan),Fort Worth,05/21/2025,06/30/2025,14.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Rosedale V),Fort Worth,05/21/2025,06/30/2025,16.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Diamond Road),Fort Worth,05/21/2025,06/30/2025,13.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Morris Foundation),Fort Worth,05/21/2025,06/30/2025,17.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates(North Fort Worth),Fort Worth,05/21/2025,06/30/2025,16.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Blanche),Fort Worth,05/21/2025,06/30/2025,17.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Arlington 2),Arlington,05/21/2025,06/30/2025,22.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (JA Hargrave),Fort Worth,05/21/2025,06/30/2025,19.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Child Care Associates (Everman),Fort Worth,05/21/2025,06/30/2025,9.0,,,,,,,Tarrant,Tarrant County WDA,05/21/2025,,,,,,
Texas,Sodexo (International Leadership TX),Irving,05/21/2025,06/30/2025,165.0,,,,,,,Dallas,Dallas County WDA,05/21/2025,,,,,,
Texas,F&S Produce West LLC,Houston,05/21/2025,07/20/2025,225.0,,,,,,,Harris,Gulf Coast WDA,05/21/2025,,,,,,
Texas,FedEx Supply Chain Logistics & Electronics (Ft. Worth),Fort Worth,05/20/2025,07/06/2025,305.0,,,,,,,Tarrant,Tarrant County WDA,05/20/2025,,,,,,
Texas,Chevron (Deauville Blvd),Midland,05/16/2025,07/15/2025,185.0,,,,,,,Midland,Permian Basin WDA,05/28/2025,,,,,,
Texas,Chevron (S. County Rd.),Midland,05/16/2025,07/15/2025,1.0,,,,,,,Midland,Permian Basin WDA,05/28/2025,,,,,,
Texas,Chevron (N. FM 1788),Midland,05/16/2025,07/15/2025,14.0,,,,,,,Midland,Permian Basin WDA,05/28/2025,,,,,,
Texas,International Paper Company(Edinburg),Edinburg,05/14/2025,05/09/2025,63.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025,,,,,,
Texas,International Paper Company (Edinburg W. Chapin),Edinburg,05/14/2025,05/09/2025,64.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025,,,,,,
Texas,International Paper Company (McAllen),McAllen,05/14/2025,05/09/2025,5.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,05/14/2025,,,,,,
Texas,Atria Wealth Solutions,Houston,05/14/2025,07/04/2025,55.0,,,,,,,Fort Bend,Gulf Coast WDA,05/14/2025,,,,,,
Texas,Museum of Ice Cream,Austin,05/08/2025,07/10/2025,38.0,,,,,,,Travis,Capital Area WDA,05/08/2025,,,,,,
Texas,WSS (Foot Locker),Houston,05/08/2025,07/07/2025,57.0,,,,,,,Harris,Gulf Coast WDA,05/08/2025,,,,,,
Texas,TRIGO (Tesla),Austin,05/07/2025,04/28/2025,50.0,,,,,,,Travis,Capital Area WDA,05/07/2025,,,,,,
Texas,Smurfikt Westrock Facility (ForneyTexas),Forney,05/06/2025,06/30/2025,200.0,,,,,,,Kaufman,North Central Texas WDA,05/06/2025,,,,,,
Texas,Tom Thumb Store #3579,Allen,05/06/2025,,75.0,,,,,,,Collin,North Central Texas WDA,05/06/2025,,,,,,
Texas,Chick-Fil-A (N. Collins St. Plant),Arlington,05/01/2025,06/07/2025,10.0,,,,,,,Tarrant,Tarrant County WDA,05/01/2025,,,,,,
Texas,PULAU Corporation,Killeen,04/30/2025,06/30/2025,64.0,,,,,,,Bell,Central Texas WDA,04/30/2025,,,,,,
Texas,Texas Central School Bus (Purnell),Lewisville,04/30/2025,07/17/2025,174.0,,,,,,,Denton,,04/30/2025,,,,,,
Texas,Texas Central School Bus (Mill),Lewisville,04/30/2025,07/15/2025,131.0,,,,,,,Denton,North Central Texas WDA,04/30/2025,,,,,,
Texas,Texas Central School Bus (Cougar Alley),The Colony,04/30/2025,07/15/2025,155.0,,,,,,,Denton,North Central Texas WDA,04/30/2025,,,,,,
Texas,"Compass Group, Inc.d.b.a.Chartwells (Lancaster ISD)",Lancaster,06/24/2025,06/30/2025,83.0,,,,,,,Dallas,Dallas County WDA,06/24/2025,,,,,,
Texas,Management & Training Corporation (Willacy County State Jail),Raymondville,06/24/2025,08/31/2025,166.0,,,,,,,Willacy,Lower Rio Grande Valley WDA,06/24/2025,,,,,,
Texas,Management & Training Corporation (Lindsey State Jail),Jacksboro,06/24/2025,08/31/2025,117.0,,,,,,,Jack,North Texas WDA,06/24/2025,,,,,,
Texas,Management & Training Corporation (Kyle Correctional Center),Kyle,06/24/2025,08/31/2025,98.0,,,,,,,Hays,Rural Capital WDA,06/24/2025,,,,,,
Texas,Management & Training Corporation (Gregory S. Coleman Unit),Lockhart,06/24/2025,08/31/2025,135.0,,,,,,,Caldwell,Rural Capital WDA,06/24/2025,,,,,,
Texas,Management & Training Corporation (Bridgeport Correctional Facility),Bridgeport,06/24/2025,08/31/2025,103.0,,,,,,,Wise,North Central Texas WDA,06/24/2025,,,,,,
Texas,Management & Training Corp. (Billy Moore Correctional Center),Overton,06/20/2025,08/31/2025,109.0,,,,,,,Rusk,East Texas WDA,06/20/2025,,,,,,
Texas,Management & Training Corp. (Bradshaw State Jail),Henderson,06/20/2025,08/31/2025,172.0,,,,,,,Rusk,East Texas WDA,06/20/2025,,,,,,
Texas,"Encino Energy, LLC",Houston,06/18/2025,08/17/2025,121.0,,,,,,,Harris,Gulf Coast WDA,06/18/2025,,,,,,
Texas,Tyson Foods (Fort Worth Distribution Center),Fort Worth,06/18/2025,08/15/2025,275.0,,,,,,,Tarrant,Tarrant County WDA,06/18/2025,,,,,,
Texas,"Khoros, LLC.",Austin,06/18/2025,08/19/2025,116.0,,,,,,,Travis,Capital Area WDA,06/18/2025,,,,,,
Texas,Lockheed Martin Corp. -Fort Bliss ATMP,Fort Bliss,06/17/2025,06/30/2025,17.0,,,,,,,El Paso,Borderplexjobs WDA,06/17/2025,,,,,,
Texas,Tom Thumb Store #3645 Plano,Plano,06/11/2025,07/26/2025,75.0,,,,,,,Collin,North Central Texas WDA,06/11/2025,,,,,,
Texas,Randalls Store #1041,Houston,06/11/2025,08/16/2025,102.0,,,,,,,Harris,Gulf Coast WDA,06/11/2025,,,,,,
Texas,Movate Inc. (The Genesis Project),Temple,06/11/2025,08/08/2025,26.0,,,,,,,Bell,Central Texas WDA,06/11/2025,,,,,,
Texas,XiFin,Austin,06/04/2025,05/29/2025,87.0,,,,,,,Travis,Capital Area WDA,06/04/2025,,,,,,
Texas,Eckerd Connects (David Carrasco Job Corps),El Paso,06/04/2025,06/13/2025,77.0,,,,,,,El Paso,Borderplexjobs WDA,06/04/2025,,,,,,
Texas,Sunnova Energy Corporation,Houston,06/03/2025,05/30/2025,,,,,,,,Harris,Gulf Coast WDA,06/03/2025,,,,,,
Texas,JC Penney (Allaince Supply Chain),Haslet,06/03/2025,08/01/2025,296.0,,,,,,,Tarrant,Tarrant County WDA,06/03/2025,,,,,,
Texas,Trinity Rail-Trinity Tank Car-Jordan Valley,Longview,07/30/2025,09/30/2025,170.0,,,,,,,Gregg,East Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions Arlington (Arbor E&T, LLC)",Arlington,07/30/2025,09/30/2025,4.0,,,,,,,Tarrant,North Central Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions Denton (Arbor E&T, LLC)",Denton,07/30/2025,09/30/2025,27.0,,,,,,,Denton,North Central Texas WDA,07/30/2025,,,,,,
Texas,Peraton Balloon Operations (NASA),Palestine,07/23/2025,09/30/2025,81.0,,,,,,,Anderson,East Texas WDA,07/23/2025,,,,,,
Texas,SM Cargo,Houston,07/21/2025,09/21/2025,194.0,,,,,,,Harris,Gulf Coast WDA,07/21/2025,,,,,,
Texas,Chevron Corporation (HESS Corporation),Houston,07/21/2025,09/26/2025,575.0,,,,,,,Harris,Gulf Coast WDA,07/21/2025,,,,,,
Texas,"AMERICA, INC., d/b/a LIXIL",Grand Prairie,07/16/2025,09/08/2025,65.0,,,,,,,Tarrant,Tarrant County WDA,07/16/2025,,,,,,
Texas,"Sodexo, Inc.and Affiliates (Texas Southern University)",Houston,07/10/2025,07/31/2025,81.0,,,,,,,Harris,Gulf Coast WDA,07/10/2025,,,,,,
Texas,International Paper Company(N. Closner Blvd.),Edinburg,07/10/2025,09/01/2025,66.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025,,,,,,
Texas,International Paper Company(W. Chaplin),Edinburg,07/10/2025,09/01/2025,66.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025,,,,,,
Texas,International Paper Company(N. 26th),Edinburg,07/10/2025,09/01/2025,5.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,07/10/2025,,,,,,
Texas,"GI Alliance Management, LLC",Southlake,07/09/2025,09/01/2025,25.0,,,,,,,Denton,Tarrant County WDA,07/09/2025,,,,,,
Texas,Intel Corporation,Austin,07/09/2025,07/15/2025,110.0,,,,,,,Travis,Capital Area WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Dominguez State Jail),San Antonio,07/09/2025,08/31/2025,8.0,,,,,,,Bexar,Alamo WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Gist State Jail),Beaumont,07/09/2025,08/31/2025,6.0,,,,,,,Jefferson,South East Texas WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Hutchins State Jail),Dallas,07/09/2025,08/31/2025,8.0,,,,,,,Dallas,Dallas County WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Lychner State Jail),Humble,07/09/2025,08/31/2025,17.0,,,,,,,Harris,Gulf Coast WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Plane State Jail),Dayton,07/09/2025,08/31/2025,8.0,,,,,,,Liberty,Gulf Coast WDA,07/09/2025,,,,,,
Texas,Management & Training Corporation (Travis County State Jail),Austin,07/09/2025,08/31/2025,4.0,,,,,,,Travis,Capital Area WDA,07/09/2025,,,,,,
Texas,"Movate, Inc. (AT&T Project)",Temple,07/08/2025,07/01/2025,71.0,,,,,,,Bell,Central Texas WDA,07/08/2025,,,,,,
Texas,International Business Machines-Coppell,Coppell,07/02/2025,08/29/2025,59.0,,,,,,,Dallas,Dallas County WDA,07/02/2025,,,,,,
Texas,Fed Ex Corporation (Garland),Garland,07/02/2025,09/01/2025,81.0,,,,,,,Dallas,Dallas County WDA,07/02/2025,,,,,,
Texas,Santa Maria Hostel,Houston,07/02/2025,08/31/2025,41.0,,,,,,,Harris,Gulf Coast WDA,07/02/2025,,,,,,
Texas,FedEx Corporation (Plano),Plano,07/02/2025,09/01/2025,50.0,,,,,,,Collin,North Central Texas WDA,07/02/2025,,,,,,
Texas,Memorial Herman Health System Skilled Nursing Facility,Houston,07/02/2025,09/01/2025,83.0,,,,,,,Harris,Gulf Coast WDA,07/02/2025,,,,,,
Texas,TT Electronics Facility IRC (Plano),Plano,07/02/2025,08/31/2025,75.0,,,,,,,Collin,North Central Texas WDA,07/02/2025,,,,,,
Texas,MPW Services,Austin,08/27/2025,09/01/2025,82.0,,,,,,,Travis,Capital Area WDA,08/27/2025,,,,,,
Texas,"Tech Werks, LLC (San Antonio)",San Antonio,08/20/2025,09/15/2025,87.0,,,,,,,Bexar,Alamo WDA,08/20/2025,,,,,,
Texas,"Promises Behavioral Health, LLC",Wimberley,08/18/2025,10/17/2025,58.0,,,,,,,Hays,Rural Capital WDA,08/18/2025,,,,,,
Texas,"CarOffer, LLC",Addison,08/13/2025,10/06/2025,101.0,,,,,,,Dallas,Dallas County WDA,08/13/2025,,,,,,
Texas,UPS (Dallas Facility),Dallas,08/06/2025,08/05/2025,62.0,,,,,,,Dallas,Dallas County WDA,08/06/2025,,,,,,
Texas,"Solarcycle, Inc.",Odessa,08/06/2025,10/06/2025,70.0,,,,,,,Ector,Permian Basin WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (SWK National Headquarters)",Austin,08/06/2025,10/06/2025,45.0,,,,,,,Travis,Capital Area WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. La Esperanza)",Brownsville,08/06/2025,10/05/2025,4.0,,,,,,,Cameron,Cameron County WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc.(Casa Nueva Esperanza)",Brownsville,08/06/2025,10/05/2025,9.0,,,,,,,Cameron,Cameron County WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc.(South Texas HQ)",Brownsville,08/06/2025,10/05/2025,13.0,,,,,,,Cameron,Cameron County WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Franklin)",El Paso,08/06/2025,10/05/2025,1.0,,,,,,,El Paso,Borderplexjobs WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Norma Linda)",Los Fresnos,08/06/2025,10/05/2025,3.0,,,,,,,Cameron,Cameron County WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Rio Grande)",San Benito,08/06/2025,10/05/2025,3.0,,,,,,,Cameron,Cameron County WDA,08/06/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Canutillo)",Canutillo,08/06/2025,10/05/2025,3.0,,,,,,,El Paso,Borderplexjobs WDA,08/06/2025,,,,,,
Texas,"Equus Workforce Solutions Houston Opertions- Acres Home (Arbor E&T, LLC)",Houston,08/01/2025,09/30/2025,12.0,,,,,,,Harris,Gulf Coast WDA,08/01/2025,,,,,,
Texas,"Equus Workforce Solutions Houston Opertions- Pearland (Arbor E&T, LLC)",Pearland,08/01/2025,09/30/2025,13.0,,,,,,,Brazoria,Gulf Coast WDA,08/01/2025,,,,,,
Texas,"Equus Workforce Solutions Houston Opertions- Westheimer Rd. (Arbor E&T, LLC)",Houston,08/01/2025,09/30/2025,28.0,,,,,,,Harris,Gulf Coast WDA,08/01/2025,,,,,,
Texas,"Equus Workforce Solutions-Camp Wisdom (Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,1.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-N.Tenth St. (Arbor E&T, LLC)",Garland,07/31/2025,09/30/2025,10.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Highway 161. (Arbor E&T, LLC)",Grand Prairie,07/31/2025,09/30/2025,71.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Greenville Ave. (Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,10.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Irving Blvd. (Arbor E&T, LLC)",Irving,07/31/2025,09/30/2025,13.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Alpha Rd.(Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,17.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Malcolm X Blvd.(Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,16.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions-Buckner Blvd.(Arbor E&T, LLC)",Dallas,07/31/2025,09/30/2025,16.0,,,,,,,Dallas,Dallas County WDA,07/31/2025,,,,,,
Texas,"Turner Industries (Paris, Texas September 2025)",Paris,07/31/2025,09/30/2025,211.0,,,,,,,Lamar,North East Texas WDA,07/31/2025,,,,,,
Texas,Planned Parenthood Gulf Coast (Prevention Park Facility),Houston,07/31/2025,09/30/2025,114.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Houston Reliant)",Houston,07/31/2025,10/05/2025,211.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Houston HQ)",Houston,07/31/2025,10/05/2025,11.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Quetzal)",Houston,07/31/2025,10/05/2025,309.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Sunzal)",Houston,07/31/2025,10/05/2025,223.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Oasis)",McAllen,07/31/2025,10/05/2025,128.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Sueno)",Weslaco,07/31/2025,10/05/2025,93.0,,,,,,,Hidalgo,Lower Rio Grande Valley WDA,07/31/2025,,,,,,
Texas,"Southwest Key Programs, Inc. (Casa Montezuma)",Channelview,07/31/2025,10/05/2025,238.0,,,,,,,Harris,Gulf Coast WDA,07/31/2025,,,,,,
Texas,"Equus Workforce Solutions Greenville (Arbor E&T, LLC)",Greenville,07/30/2025,09/30/2025,9.0,,,,,,,Hunt,North Central Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions McKinney (Arbor E&T, LLC)",McKinney,07/30/2025,09/30/2025,15.0,,,,,,,Collin,North Central Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions Stephenville (Arbor E&T, LLC)",Stephenville,07/30/2025,09/30/2025,2.0,,,,,,,Erath,North Central Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions Terrell  (Arbor E&T, LLC)",Terrell,07/30/2025,09/30/2025,8.0,,,,,,,Kaufman,North Central Texas WDA,07/30/2025,,,,,,
Texas,"Equus Workforce Solutions Weatherford (Arbor E&T, LLC)",Weatherford,07/30/2025,09/30/2025,16.0,,,,,,,Parker,North Central Texas WDA,07/30/2025,,,,,,
Texas,Cottonwood Creek Healthcare Community,Richardson,09/24/2025,12/01/2025,70.0,,,,,,,Dallas,Dallas County WDA,09/24/2025,,,,,,
Texas,Sunny Glen Children's Home,Raymondville,09/18/2025,11/17/2025,424.0,,,,,,,Willacy,Lower Rio Grande Valley WDA,09/18/2025,,,,,,
Texas,Accelore Group-Amazon Logistics (DDA9- Fort Worth),Fort Worth,09/17/2025,11/01/2025,107.0,,,,,,,Tarrant,Tarrant County WDA,09/17/2025,,,,,,
Texas,Accelore Group-Amazon Logistics (DDF2-Balch Springs),Mesquite,09/17/2025,11/01/2025,107.0,,,,,,,Dallas,Dallas County WDA,09/17/2025,,,,,,
Texas,"Hill & Smith, Inc.",Garland,09/10/2025,11/01/2025,46.0,,,,,,,Dallas,Dallas County WDA,09/10/2025,,,,,,
Texas,"Essendant Management Services, LLC",Houston,09/04/2025,11/07/2025,92.0,,,,,,,Harris,Gulf Coast WDA,09/04/2025,,,,,,
Texas,CyraCom International Inc.,Houston,09/04/2025,12/01/2025,327.0,,,,,,,Harris,Gulf Coast WDA,09/04/2025,,,,,,
Texas,"Condair Operations, LLC",Center,09/03/2025,11/03/2025,51.0,,,,,,,Shelby,Deep East Texas WDA,09/03/2025,,,,,,
Texas,Tekni-Plex (Dallas Facility),Dallas,10/29/2025,12/26/2025,64.0,,,,,,,Dallas,Dallas County WDA,10/29/2025,,,,,,
Texas,"Colonial Savings, F.A.",Fort Worth,10/29/2025,01/01/2026,130.0,,,,,,,Tarrant,Tarrant County WDA,10/29/2025,,,,,,
Texas,Wells Fargo & Co. (Lubbock),Lubbock,10/29/2025,10/28/2025,225.0,,,,,,,Lubbock,South Plains WDA,10/29/2025,,,,,,
Texas,"Cherokee Nation System Solutions, L.L.C.",Austin,10/29/2025,12/19/2025,87.0,,,,,,,Travis,Capital Area WDA,10/29/2025,,,,,,
Texas,Job1 USA (Arlington),Arlington,10/28/2025,11/15/2025,31.0,,,,,,,Tarrant,Tarrant County WDA,10/28/2025,,,,,,
Texas,Job1 USA (Fort Worth),Fort Worth,10/28/2025,11/15/2025,25.0,,,,,,,Tarrant,Tarrant County WDA,10/28/2025,,,,,,
Texas,Job1 USA (Haslet),Haslet,10/28/2025,11/15/2025,25.0,,,,,,,Tarrant,Tarrant County WDA,10/28/2025,,,,,,
Texas,"Congo, LLC",Lewisville,10/28/2025,12/31/2025,155.0,,,,,,,Denton,North Central Texas WDA,10/29/2025,,,,,,
Texas,Job1 USA (San Antonio),San Antonio,10/23/2025,11/15/2025,18.0,,,,,,,Bexar,Alamo WDA,10/29/2025,,,,,,
Texas,Job1 USA (Houston),Houston,10/23/2025,11/15/2025,13.0,,,,,,,Harris,Gulf Coast WDA,10/29/2025,,,,,,
Texas,"Flagstone Foods, LLC (El Paso Plant)",El Paso,10/22/2025,12/19/2025,225.0,,,,,,,El Paso,Borderplexjobs WDA,10/22/2025,,,,,,
Texas,Texas Instruments - Sherman,Sherman,10/15/2025,12/12/2025,19.0,,,,,,,Grayson,Texoma WDA,10/15/2025,,,,,,
Texas,Eden Green Technology,Cleburne,10/15/2025,12/13/2025,102.0,,,,,,,Johnson,North Central Texas WDA,10/15/2025,,,,,,
Texas,"M & M Manufacturing, Inc.",Houston,10/13/2025,12/15/2025,75.0,,,,,,,Harris,Gulf Coast WDA,10/13/2025,,,,,,
Texas,Creative Testing Solutions,Austin,10/09/2025,12/12/2025,91.0,,,,,,,Travis,Capital Area WDA,10/09/2025,,,,,,
Texas,"Meadow Burke, LLC d/b/a Leviat",Fort Worth,10/08/2025,12/02/2025,75.0,,,,,,,Tarrant,Tarrant County WDA,10/08/2025,,,,,,
Texas,"Lion Elastomers Orange, LLC (Orange Plant)",Orange,10/08/2025,12/08/2025,113.0,,,,,,,Orange,South East Texas WDA,10/08/2025,,,,,,
Texas,J & J Maintenance,San Antonio,10/02/2025,11/30/2025,279.0,,,,,,,Bexar,Alamo WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Canutillo,Canutillo,10/02/2025,11/05/2025,2.0,,,,,,,El Paso,Borderplexjobs WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casita Del Valle,Clint,10/02/2025,11/05/2025,5.0,,,,,,,El Paso,Borderplexjobs WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Houston Reliant,Houston,10/02/2025,11/05/2025,1.0,,,,,,,Harris,Gulf Coast WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Montezuma,Channelview,10/02/2025,11/05/2025,1.0,,,,,,,Harris,Gulf Coast WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Norma Linda,Los Fresnos,10/02/2025,11/05/2025,3.0,,,,,,,Cameron,Cameron County WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Nueva Esperanza,Brownsville,10/02/2025,11/05/2025,8.0,,,,,,,Cameron,Cameron County WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Casa Rio Grande,San Benito,10/02/2025,11/05/2025,3.0,,,,,,,Cameron,Cameron County WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-National Headquarters (Austin),Austin,10/02/2025,11/05/2025,3.0,,,,,,,Travis,Capital Area WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-STX Regional Headquarters,Brownsville,10/02/2025,11/05/2025,12.0,,,,,,,Cameron,Cameron County WDA,10/02/2025,,,,,,
Texas,Southwest Key Programs-Houston Headquarters,Houston,10/02/2025,11/05/2025,10.0,,,,,,,Harris,Gulf Coast WDA,10/02/2025,,,,,,
Texas,Memorial Hermann Health System Senior Living Facility,Houston,10/01/2025,10/01/2025,26.0,,,,,,,Harris,Gulf Coast WDA,10/01/2025,,,,,,
Texas,Yang Ming (America) Corporation,Houston,10/01/2025,10/01/2025,118.0,,,,,,,Harris,Gulf Coast WDA,10/01/2025,,,,,,
Texas,"DTSV, Inc. (ITC Federal)",Irving,09/30/2025,11/30/2025,169.0,,,,,,,Dallas,Dallas County WDA,09/30/2025,,,,,,
Texas,"Seatrium AmFELS, Inc.",Brownsville,09/30/2025,11/28/2025,91.0,,,,,,,Cameron,Cameron County WDA,09/30/2025,,,,,,
Texas,Urban Alchemy (Arch Shelter),Austin,09/30/2025,09/30/2025,55.0,,,,,,,Travis,Capital Area WDA,09/30/2025,,,,,,
