state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Ohio,"UPDATED Eagle Machining - First Brands Group, LLC",Fayette/Fulton,1/27/2026 12/29/2025,1/27/2026,251,Closure,Phone: (330) 980-0677 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1769548431/jfs.ohio.gov/warn/WARN%202025/Updated_Eagle_Machining_First_Brands.pdf
Ohio,First Brands Group Darke,Greenville/Darke,2/27/2026,4/30/2026,302,Closure,Phone: (833) 434-2557 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1772219472/jfs.ohio.gov/warn/WARN%202026/FirstBrandsGroupDarke.pdf
Ohio,First Financial Bancorp,Seville/Medina,2/2/2026,03/19/2026-09/15/2026,56,Layoff,Phone: (513) 979-5734 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1770135498/jfs.ohio.gov/warn/WARN%202026/FirstFinancialBancorp.pdf
Ohio,Fresenius USA Manufacturing,Oregon/Lucas,1/29/2026,4/10/2026,54,Layoff,Phone: (801) 719-7425 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1769797238/jfs.ohio.gov/warn/WARN%202026/FreseniusUSAManufacturing.pdf
Ohio,FTI Buyer LLC BIDFTA online actions,Cincinnatti/Hamilton,1/8/2026,3/6/2026,104,Closure,Phone: (513) 240-1513 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1767975825/jfs.ohio.gov/warn/WARN%202026/FTIBuyerLLCBIDFTAonlineauctions.pdf
Ohio,GEODIS LLC,Ashville/Pickaway,3/3/2026,4/28/2026,105,Closure,Phone: (740) 412-1481 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1772637759/jfs.ohio.gov/warn/WARN%202026/GEODISLLC.pdf
Ohio,Goodyear Tire & Rubber Company,Findlay/Hancock,1/30/2026,3/31/2026,85,Closure,Phone: (419) 619-5581 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1770048815/jfs.ohio.gov/warn/WARN%202026/GoodyearTireRubberCompany.pdf
Ohio,GridHawk,Mount Gilead/Morrow,4/22/2026,04/22/2026-06/20/2026,248,Closure,Phone: (219) 384-9071 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1776886905/jfs.ohio.gov/warn/WARN%202026/GridHawk.pdf
Ohio,JeniusBank SMBC Manubank,Unknown/Unknown,1/8/2026,3/10/2026,2,Closure,Phone: (646) 256-5895 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1767988814/jfs.ohio.gov/warn/WARN%202026/JeniusBankManubankSMBC.pdf
Ohio,Lifetouch,Galion/Crawford,3/3/2026,06/05/2026-12/24/2026,88,Closure,Phone: (765) 741-3556 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1772637791/jfs.ohio.gov/warn/WARN%202026/Lifetouch.pdf
Ohio,"Louis Vuitton USA, Inc",Beachwood/Cuyahoga,3/27/2026,3/14/2026,11,Closure,Phone: (312) 273-8128 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1774623516/jfs.ohio.gov/warn/WARN%202026/Louis-Vuitton-USA-Inc.pdf
Ohio,Lourdes University,Sylvania/Lucas,3/13/2026,05/15/2026-09/30/2026,387,Closure,Phone: (419) 824-3728 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1773682957/jfs.ohio.gov/warn/WARN%202026/Lourdes_University.pdf
Ohio,Lowe's Companies,Unknown/Unknown,2/16/2026,04/19/2026-05/01/2026,17,Layoff,Phone: (704) 758-4112 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1771342002/jfs.ohio.gov/warn/WARN%202026/LowesCompanies.pdf
Ohio,Main Street Sports Group Cincinnati,Cincinnatti/Hamilton,2/23/2026,4/14/2026,8,Closure,Phone: (203) 216-1957 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1771873177/jfs.ohio.gov/warn/WARN%202026/MainStreetSportsGroupCincinnati.pdf
Ohio,Main Street Sports Group Cleveland,Cleveland/Cuyahoga,2/13/2026,4/14/2026,27,Closure,Phone: (203) 216-1957 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1771342002/jfs.ohio.gov/warn/WARN%202026/MainStreetSportsGroup.pdf
Ohio,"Meteor Creative, Inc",Tipp City/Miami,2/24/2026,4/24/2026,66,Closure,Phone: No Number | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1772033914/jfs.ohio.gov/warn/WARN%202026/MeteorCreativeInc.pdf
Ohio,New Horizons Baking Company,Toledo/Lucas,1/16/2026,3/17/2026,68,Closure,Phone: (419) 660-4065 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1768578139/jfs.ohio.gov/warn/WARN%202026/New-Horizon-Baking-Company.pdf
Ohio,Optalis Professional Services LLC,Circleville/Pickaway,4/29/2026,6/30/2026,122,Closure,Phone: (248) 817-7640 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1777576162/jfs.ohio.gov/warn/WARN%202026/OptalisProfessionalServicesLLCPickawayManor.pdf
Ohio,Panera,West Chester/Butler,3/27/2026,05/20/2026 & 05/22/2026,70,Closure,Phone: (314) 222-1494 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1774647237/jfs.ohio.gov/warn/WARN%202026/Panera.pdf
Ohio,"Parsec, LLC",Columbus/Franklin,2/23/2026,5/1/2026,115,Closure,Phone: (586) 707-5128 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1771873177/jfs.ohio.gov/warn/WARN%202026/ParsecLLC.pdf
Ohio,Refresco Beverages US Inc,Carlisle/Warren,4/14/2026,06/24/2026-12/21/2026,63,Closure,Phone: (862) 485-8986 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1776186277/jfs.ohio.gov/warn/WARN%202026/RefrescoBeveragesUSInc.pdf
Ohio,Saks & Company LLC Beachwood,Beachwood/Cuyahoga,3/6/2026,05/06/2026-05/31/2026,70,Closure,Phone: No Number | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1773064650/jfs.ohio.gov/warn/WARN%202026/SaksCompanyLLCBeachwood.pdf
Ohio,Saks & Company LLC Columbus,Columbus/Franklin,2/10/2026,04/11/2026-04/30/2026,41,Closure,Phone: (201) 658-3778 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1770832754/jfs.ohio.gov/warn/WARN%202026/SaksCompanyLLC.pdf
Ohio,"Sumaria Systems, LLC",Dayton/Greene,1/12/2026,1/26/2026,57,Layoff,Phone: (937) 345-0866 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1768249659/jfs.ohio.gov/warn/WARN%202026/SumariaSystemsLLCJFS00039.pdf
Ohio,Taikisha USA,Columbus/Franklin,1/7/2026,03/07/2026-06/30/2026,81,Closure,Phone: (734) 637-8812 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1767887433/jfs.ohio.gov/warn/WARN%202026/TaikishaUSA.pdf
Ohio,Technicote Inc dba Beontag,Trotwood/Montgomery,3/25/2026,5/24/2026,53,Layoff,Phone: (937) 620-0307 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1774539368/jfs.ohio.gov/warn/WARN%202026/TechnicoteIncdbaBeontag.pdf
Ohio,Ten Sixty Logistics LLC,Etna/Licking,3/19/2026,3/31/2026 & 04/30/2026,125,Closure,Phone: (220) 269-9871 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1774022043/jfs.ohio.gov/warn/WARN%202026/Ten_Sixty_Logistics.pdf
Ohio,"Tessera Therapeutics, Inc",Unknown/Unknown,1/12/2026,3/8/2026,1,Layoff,Phone: (860) 910-6030 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1768335992/jfs.ohio.gov/warn/WARN%202026/TesseraTherapeuticsInc.pdf
Ohio,Turf Care Supply Corp.,Martins Ferry/Belmont,1/12/2026,02/28/2026-05/01/2026,46,Closure,Phone: (330) 558-0910 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1768499755/jfs.ohio.gov/warn/WARN%202026/TurfCareSupplyCorp.pdf
Ohio,UPDATE First Brands Group Cuyahoga 4,Cleveland/Cuyahoga,4/24/2026,5/31/2026,110,Closure,Phone: (833) 434-2557 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1777300906/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsCuyahoga4.pdf
Ohio,UPDATE First Brands Group Seneca,Tiffin/Seneca,4/24/2026,5/31/2026,407,Closure,Phone: (833) 434-2557 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1777300906/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsSeneca.pdf
Ohio,UPDATE First Brands Group Wood,Bowling Green/Wood,4/24/2026,5/31/2026,302,Closure,Phone: (833) 434-2557 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1777300906/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsWood.pdf
Ohio,"UPDATE GXO Logistics Supply Chain, Inc",West Jefferson/Madison,4/28/2026,5/2/2026-8/1/2026,102,Closure,Phone: (909) 219-2122 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1777477149/jfs.ohio.gov/warn/WARN%202026/UPDATEGXOLogisticsSupplyChainInc.pdf
Ohio,Venture Solutions/Taylor Technology Services,Grove City/Franklin,4/22/2026,6/22/2026,60,Closure,Phone: (763) 381-9681 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1776886905/jfs.ohio.gov/warn/WARN%202026/VentureSolutionsInc_TaylorTechnologyServices.pdf
Ohio,Zenith Logistics Inc,Cincinnatti/Hamilton,3/19/2026,04/15/2026-07/01/2026,225,Closure,Phone: (513) 967-4783 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1773941927/jfs.ohio.gov/warn/WARN%202026/Zenith-Logistics-Inc.pdf
